LineId,Content,EventId,EventTemplate
92,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMD_NTK833FA/*bld*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
93,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMD_NTK833FA/*BASE*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
94,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMD_NTK833FA/*SWD': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
95,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMD_NTK833FA/*load': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
96,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMD_NTK833FA/*tar': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
97,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMD_NTK833FA/*sym': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
98,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMD_NTK833FA/*sim': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
99,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMD_NTK833FA/*elf': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
100,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMD_NTK833FA/*map': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
101,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMD_NTK843GA/*boot*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
102,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMD_NTK843GA/*bld*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
103,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMD_NTK843GA/*BASE*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
104,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMD_NTK843GA/*SWD': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
105,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMD_NTK843GA/*load': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
106,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMD_NTK843GA/*tar': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
107,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMD_NTK843GA/*sym': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
108,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMD_NTK843GA/*sim': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
109,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMD_NTK843GA/*elf': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
110,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMD_NTK843GA/*map': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
111,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCS4_NTK833AA/*boot*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
112,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCS4_NTK833AA/*bld*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
113,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCS4_NTK833AA/*BASE*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
114,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCS4_NTK833AA/*SWD': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
115,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCS4_NTK833AA/*load': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
116,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCS4_NTK833AA/*tar': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
117,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCS4_NTK833AA/*sym': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
118,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCS4_NTK833AA/*sim': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
119,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCS4_NTK833AA/*elf': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
120,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCS4_NTK833AA/*map': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
121,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCS4_NTK833AE/*boot*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
122,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCS4_NTK833AE/*bld*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
123,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCS4_NTK833AE/*BASE*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
124,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCS4_NTK833AE/*SWD': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
125,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCS4_NTK833AE/*load': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
126,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCS4_NTK833AE/*tar': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
127,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCS4_NTK833AE/*sym': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
128,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCS4_NTK833AE/*sim': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
129,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCS4_NTK833AE/*elf': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
130,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCS4_NTK833AE/*map': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
131,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCS4_NTK833BA/*boot*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
132,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCS4_NTK833BA/*bld*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
133,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCS4_NTK833BA/*BASE*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
134,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCS4_NTK833BA/*SWD': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
135,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCS4_NTK833BA/*load': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
136,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCS4_NTK833BA/*tar': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
137,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCS4_NTK833BA/*sym': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
138,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCS4_NTK833BA/*sim': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
